code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,status
600372,中航机载,,2026-06-03,11.08,11.198,11.422,12.157499999999999,12.951833333333331,13.713916666666666,-0.020982689281342726,-0.04673677182440317,-0.03534872649369203,-0.05191176829417099,-0.020335985853227267,-0.07589658048373649,-0.16187594553706508,-0.2583668005354752,335939817.6,381211874.6,524851534.8,0.6400663717750454,0.00616376601539426,0.00871941486379712,13.75,16.05,False,False,-0.30965732087227416,-0.18827838827838828,0.3364999999999999,0.030370036101083023,0.5991899231078294,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.16134397870924816,0.09214903526280772,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600418,江淮汽车,,2026-06-03,34.8,36.37,39.532,43.753,46.036500000000004,48.59258333333334,-0.08189024082395113,-0.11078120430978255,-0.06378653656866506,-0.0516964950888672,-0.10997442455242978,-0.23867862612119894,-0.291097983295987,-0.32124049151550627,2432423086.8,2514819951.2,2414679901.25,1.007348048716857,0.030289040586082155,0.025497230909620906,52.75,52.75,False,False,-0.34028436018957353,-0.32295719844357984,2.1109999999999998,0.06066091954022988,0.2902340026987763,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.007318695941450432,0.02428476380572189,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600489,中金黄金,,2026-06-03,23.13,22.736,23.167,24.47,26.40716666666667,26.915416666666665,-0.026128673006082348,-0.03087220246810274,-0.03240475296071488,-0.0519491398653702,-0.014906303236797314,-0.007722007722007707,-0.1446005917159764,-0.2749216300940439,1580928631.6,1514599862.4,1645385199.6,0.9608258491594128,0.01439148230673076,0.013818425254328151,28.48,32.36,False,False,-0.2852286773794809,-0.20659107016300493,1.0779999999999998,0.0466061392131431,0.6897174957416702,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.229208250166334,0.06553559547571523,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600547,山东黄金,,2026-06-03,29.39,29.312,29.762999999999998,31.6555,37.344833333333334,40.664750000000005,-0.018023450586264644,-0.037170031055900665,-0.04423242402741523,-0.07435513987805065,-0.017056856187290914,-0.034811165845648584,-0.17559607293127621,-0.3726787620064034,1459450673.0,1558743457.5,1797077172.9,0.8121246516335403,0.013781845174401581,0.015530321936458289,36.95,48.33,False,False,-0.3918890957997103,-0.20904109589041098,1.2384999999999995,0.04214018373596459,0.6668081274762685,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.12075848303393213,0.006320691949434464,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600663,陆家嘴,,2026-06-03,7.11,7.182,7.116,7.6015,7.704666666666667,7.891416666666667,0.016129032258064502,-0.0318367346938776,-0.026384886327249446,-0.02274649078302038,0.017167381974249052,-0.01386962552011095,-0.15658362989323837,-0.09656925031766195,102017694.2,93911762.3,118124043.5,0.8636488489322667,0.00441443651901754,0.004807414438488115,8.87,8.87,False,False,-0.19842164599774514,-0.20504009163802983,0.2874999999999999,0.04043600562587903,0.6265561152551208,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.17864271457085829,0.5113107119095143,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600733,北汽蓝谷,,2026-06-03,6.04,6.136,6.337999999999999,6.6194999999999995,7.108166666666666,7.593833333333333,-0.04035032843290587,-0.04346513733776047,-0.038352582261930834,-0.037681355626255186,-0.05180533751962324,-0.0707692307692308,-0.15524475524475523,-0.2276214833759591,364047225.6,404852714.4,458681976.7,0.793681121327565,0.010655627730860219,0.01350001087866875,7.2,7.97,False,False,-0.24215809284818068,-0.1576011157601116,0.201,0.03327814569536424,0.5383403739757248,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.18463073852295409,0.1453759148369927,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600737,中粮糖业,,2026-06-03,14.48,13.688000000000002,13.716,14.635,14.777166666666666,15.793166666666668,0.04186329730552596,-0.06528553904865741,-0.02224746125066801,-0.023115655402650925,0.10703363914373099,-0.05667752442996743,-0.0823827629911279,-0.047368421052631504,584904290.2,531706786.3,594436747.55,0.9839638828028576,0.01992495168292038,0.018792901138939486,16.6,16.6,False,False,-0.12771084337349403,-0.22721749696233295,0.756,0.052209944751381215,0.6281593064175195,1.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.52228875582169,0.6304058549567532,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600754,锦江酒店,,2026-06-03,20.21,20.35,20.485999999999997,21.3275,24.713,25.153666666666666,0.006927263730826416,-0.028316653227719035,-0.04930126819265834,-0.039768422279641724,-0.0024679170779862147,-0.04263382283278061,-0.14869418702611614,-0.22477943996931338,279082435.4,305936495.8,319765335.65,0.872772637574044,0.0151234971449727,0.016331678838008075,23.77,28.77,False,False,-0.29753215154675006,-0.15679590967192159,0.627,0.03102424542305789,0.3823807849306311,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.21057884231536927,0.1520292747837658,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600763,通策医疗,,2026-06-03,35.24,36.686,36.748000000000005,38.378,41.28583333333333,42.913999999999994,-0.00396394439617731,-0.02527784408901612,-0.03832612917371414,-0.04828224771593892,-0.05522788203753337,-0.042651453409399576,-0.16906390002357918,-0.26059588753671836,285353056.4,285796978.5,321396904.2,0.8878525358241456,0.01744517070376202,0.018675220975698313,42.61,48.46,False,False,-0.27280231118448206,-0.1601525262154433,1.1084999999999994,0.03145573212258795,0.3980796432492336,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.1400532268795742,0.08915502328675981,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600764,中国海防,,2026-06-03,20.6,20.756,21.125999999999998,22.287,23.983,26.00516666666667,-0.01537001897533219,-0.043769519757389186,-0.03350029272100441,-0.05139918916246422,-0.01623686723973261,-0.07498877413560834,-0.13481730365392686,-0.27105449398443027,78882622.2,89799072.0,116187306.0,0.6789263381319816,0.005345558000890143,0.007231306432351731,24.52,28.94,False,False,-0.2881824464409122,-0.16394112837285368,0.5520000000000002,0.026796116504854375,0.6601803108217665,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.27245508982035926,0.07385229540918163,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
